1420108	7423811	-42.04463	-23.03947	-190.5540
1420109	7423807	-42.04461	-23.03951	-190.4620
1420111	7423802	-42.04459	-23.03955	-190.3760
1420113	7423797	-42.04457	-23.03959	-190.2990
1420116	7423793	-42.04454	-23.03963	-190.2120
1420118	7423788	-42.04452	-23.03967	-190.1300
1420119	7423784	-42.04450	-23.03971	-190.0440
1420122	7423779	-42.04447	-23.03975	-189.9690
1420124	7423774	-42.04445	-23.03979	-189.8990
1420126	7423770	-42.04443	-23.03983	-189.8250
1420128	7423765	-42.04441	-23.03987	-189.7530
1420130	7423761	-42.04438	-23.03991	-189.6910
1420132	7423756	-42.04436	-23.03995	-189.6240
1420134	7423751	-42.04434	-23.03999	-189.5450
1420137	7423747	-42.04431	-23.04003	-189.4680
1420139	7423742	-42.04429	-23.04007	-189.4030
1420140	7423737	-42.04427	-23.04011	-189.3330
1420142	7423733	-42.04425	-23.04015	-189.2680
1420145	7423728	-42.04422	-23.04019	-189.1940
1420147	7423724	-42.04420	-23.04023	-189.1220
1420149	7423719	-42.04418	-23.04027	-189.0580
1420151	7423714	-42.04415	-23.04031	-189.0040
1420153	7423710	-42.04413	-23.04035	-188.9520
1420155	7423705	-42.04411	-23.04039	-188.8920
1420157	7423701	-42.04409	-23.04043	-188.8450
1420160	7423696	-42.04406	-23.04047	-188.7880
1420161	7423691	-42.04404	-23.04051	-188.7480
1420163	7423687	-42.04402	-23.04055	-188.6970
1420166	7423682	-42.04399	-23.04059	-188.6370
1420168	7423678	-42.04397	-23.04063	-188.5930
1420170	7423673	-42.04395	-23.04067	-188.5420
1420173	7423668	-42.04392	-23.04071	-188.4930
1420174	7423664	-42.04390	-23.04075	-188.4370
1420176	7423659	-42.04388	-23.04079	-188.3840
1420178	7423654	-42.04386	-23.04083	-188.3270
1420181	7423650	-42.04383	-23.04087	-188.2710
1420182	7423645	-42.04381	-23.04091	-188.2210
1420184	7423641	-42.04379	-23.04095	-188.1760
1420187	7423636	-42.04376	-23.04099	-188.1220
1420189	7423631	-42.04374	-23.04103	-188.0620
1420191	7423627	-42.04372	-23.04107	-188.0050
1420192	7423622	-42.04370	-23.04111	-187.9420
1420195	7423618	-42.04367	-23.04115	-187.8870
1420197	7423613	-42.04365	-23.04119	-187.8200
1420199	7423608	-42.04363	-23.04123	-187.7650
1420202	7423604	-42.04360	-23.04127	-187.7180
1420204	7423599	-42.04358	-23.04131	-187.6600
1420205	7423595	-42.04356	-23.04135	-187.5820
1420208	7423590	-42.04353	-23.04139	-187.4950
1420210	7423585	-42.04351	-23.04143	-187.4080
1420212	7423581	-42.04349	-23.04147	-187.3360
1420213	7423576	-42.04347	-23.04151	-187.2630
1420216	7423571	-42.04344	-23.04155	-187.2060
1420218	7423567	-42.04342	-23.04159	-187.1510
1420220	7423562	-42.04340	-23.04163	-187.0920
1420223	7423558	-42.04337	-23.04167	-187.0240
1420225	7423553	-42.04335	-23.04171	-186.9590
1420226	7423548	-42.04333	-23.04175	-186.8720
1420229	7423544	-42.04330	-23.04179	-186.7960
1420231	7423539	-42.04328	-23.04183	-186.7160
1420233	7423535	-42.04326	-23.04187	-186.6300
1420236	7423530	-42.04323	-23.04191	-186.5490
1420237	7423525	-42.04321	-23.04195	-186.4730
1420239	7423521	-42.04319	-23.04199	-186.3980
