X	Y	Long	Lat	Z
-50000.00	45000.00	-45.4500	-17.9667	-2.972
-50000.00	50000.00	-45.4500	-17.9500	-2.047
-50000.00	55000.00	-45.4500	-17.9333	-1.143
-50000.00	60000.00	-45.4500	-17.9167	-0.324
-50000.00	65000.00	-45.4500	-17.9000	0.379
-50000.00	70000.00	-45.4500	-17.8833	0.956
-50000.00	75000.00	-45.4500	-17.8667	1.412
-50000.00	80000.00	-45.4500	-17.8500	1.758
-50000.00	85000.00	-45.4500	-17.8333	2.009
-50000.00	90000.00	-45.4500	-17.8167	2.181
-50000.00	95000.00	-45.4500	-17.8000	2.289
-50000.00	100000.00	-45.4500	-17.7833	2.345
-50000.00	105000.00	-45.4500	-17.7667	2.360
-50000.00	110000.00	-45.4500	-17.7500	2.345
-50000.00	115000.00	-45.4500	-17.7333	2.307
-50000.00	120000.00	-45.4500	-17.7167	2.251
-50000.00	125000.00	-45.4500	-17.7000	2.184
-50000.00	130000.00	-45.4500	-17.6833	2.109
-50000.00	135000.00	-45.4500	-17.6667	2.029
-50000.00	140000.00	-45.4500	-17.6500	1.946
-50000.00	145000.00	-45.4500	-17.6333	1.862
-50000.00	150000.00	-45.4500	-17.6167	1.778
-45000.00	-100000.00	-45.4500	-17.6000	14.513
-45000.00	-95000.00	-45.4500	-17.5833	16.205
-45000.00	-90000.00	-45.4500	-17.5667	18.118
-45000.00	-85000.00	-45.4500	-17.5500	20.277
-45000.00	-80000.00	-45.4500	-17.5333	22.702
-45000.00	-75000.00	-45.4500	-17.5167	25.412
-45000.00	-70000.00	-45.4500	-17.5000	28.415
-45000.00	-65000.00	-45.4500	-17.4833	31.705
-45000.00	-60000.00	-45.4500	-17.4667	35.252
-45000.00	-55000.00	-45.4500	-17.4500	38.990
-45000.00	-50000.00	-45.4500	-17.4333	42.807
-45000.00	-45000.00	-45.4500	-17.4167	46.528
-45000.00	-40000.00	-45.4500	-17.4000	49.910
-45000.00	-35000.00	-45.4500	-17.3833	52.637
-45000.00	-30000.00	-45.4500	-17.3667	54.344
-45000.00	-25000.00	-45.4500	-17.3500	54.657
-45000.00	-20000.00	-45.4500	-17.3333	53.273
-45000.00	-15000.00	-45.4500	-17.3167	50.048
-45000.00	-10000.00	-45.4500	-17.3000	45.083
-45000.00	-5000.00	-45.4500	-17.2833	38.759
-45000.00	0.00	-45.4500	-17.2667	31.693
-45000.00	5000.00	-45.4500	-17.2500	24.608
-45000.00	10000.00	-45.4500	-17.2333	18.170
-45000.00	15000.00	-45.4500	-17.2167	12.847
-45000.00	20000.00	-45.4500	-17.2000	8.842
-45000.00	25000.00	-45.4500	-17.1833	6.121
-45000.00	30000.00	-45.4500	-17.1667	4.484
-45000.00	35000.00	-45.4500	-17.1500	3.660
-45000.00	40000.00	-45.4500	-17.1333	3.381
-45000.00	45000.00	-45.4500	-17.1167	3.420
-45000.00	50000.00	-45.4500	-17.1000	3.611
-45000.00	55000.00	-45.4500	-17.0833	3.844
-45000.00	60000.00	-45.4500	-17.0667	4.055
-45000.00	65000.00	-45.4500	-17.0500	4.210
-45000.00	70000.00	-45.4500	-17.0333	4.300
-45000.00	75000.00	-45.4500	-17.0167	4.325
-45000.00	80000.00	-45.4500	-17.0000	4.293
-45000.00	85000.00	-45.4500	-16.9833	4.215
-45000.00	90000.00	-45.4500	-16.9667	4.100
-45000.00	95000.00	-45.4500	-16.9500	3.959
-45000.00	100000.00	-45.4500	-16.9333	3.801
-45000.00	105000.00	-45.4500	-16.9167	3.631
-45000.00	110000.00	-45.4500	-16.9000	3.456
-45000.00	115000.00	-45.4500	-16.8833	3.280
-45000.00	120000.00	-45.4500	-16.8667	3.106
-45000.00	125000.00	-45.4500	-16.8500	2.936
-45000.00	130000.00	-45.4500	-16.8333	2.772
-45000.00	135000.00	-45.4500	-16.8167	2.614
-45000.00	140000.00	-45.4500	-16.8000	2.464
-45000.00	145000.00	-45.4500	-16.7833	2.322
-45000.00	150000.00	-45.4500	-16.7667	2.188
-40000.00	-100000.00	-45.4500	-16.7500	15.161
-40000.00	-95000.00	-45.4500	-16.7333	17.041
-40000.00	-90000.00	-45.4500	-16.7167	19.195
-40000.00	-85000.00	-45.4500	-16.7000	21.661
-40000.00	-80000.00	-45.4500	-16.6833	24.482
-40000.00	-75000.00	-45.4500	-16.6667	27.699
